station_id,station,tg,lat,lon,num_year,corrn,rmse,gssr_archive,subset,gssr_years,gssr_rp10_m,gssr_rp10_bootstrap_p025_m,gssr_rp10_bootstrap_p975_m,terrain_status,terrain_source,terrain_tiles,coastal_lowland_cells,median_lowland_elev_m,connected_2m_lowland_pct,bathtub_2m_lowland_pct,unconnected_2m_lowland_pct,connected_2m_dem_pm05_min_pct,connected_2m_dem_pm05_max_pct,connected_2m_dem_pm1_min_pct,connected_2m_dem_pm1_max_pct,coast_rp_idx,coast_rp_lon,coast_rp_lat,match_dist_km,coast_rp_rp10_m,coast_rp_nearest3_range_m,coast_rp_within5km_n,coast_rp_within5km_min_m,coast_rp_within5km_max_m,D10_m,coast_rp_rank,terrain_rank,rank_mismatch_terrain_minus_coast
newlyn-p001-uk,Newlyn,newlyn-p001-uk-bodc.csv,50.102,-5.5417,37,0.8048393708363191,0.07582619564688134,newlyn_p001_uk.7z,NW Europe 30-station screening subset,41,0.6172450697458022,0.5777139661078736,0.6729010454458687,ok,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,2384,6.671358823776245,8.221476510067115,8.263422818791947,0.04194630872483222,6.291946308724833,10.318791946308725,4.194630872483222,11.703020134228188,18950,-5.53000020980835,50.10499954223633,0.898627283055563,3.3459999561309814,0.01699995994567871,2,3.3459999561309814,3.3480000495910645,2.7287548863851794,16,14,-2
hoekvanholla-hvh-nl,Hoek van Holland,hoekvanholla-hvh-nl-rws.csv,51.977,4.12,37,0.7955755620275695,0.15391272298086894,hoekvanholla_hvh_nl.7z,NW Europe 30-station screening subset,41,1.5054906522661844,1.432390806072403,1.621889074795626,ok,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,40999,3.8531720638275146,3.0976365277201885,34.71548086538696,31.61784433766677,2.4195712090538795,3.878143369350472,1.5854045220615136,4.875728676309178,19616,4.124000072479248,51.97999954223633,0.4316300697656207,3.372999906539917,0.0820000171661377,2,3.359999895095825,3.372999906539917,1.8675092542737326,15,25,10
brest,Brest,brest-france-refmar.csv,48.383,-4.5,36,0.7945705928488479,0.08446717560380519,brest_.7z,NW Europe 30-station screening subset,41,0.686821597457899,0.6453259216417127,0.8470015660773809,ok,DeltaDTM:DeltaDTM_v1_1_N48W005.tif,DeltaDTM_v1_1_N48W005.tif,4689,6.180788516998291,5.3316272126252935,7.63489016847942,2.3032629558541267,4.00938366389422,7.251013009170399,3.1349968010236724,9.29835785881851,19691,-4.504000186920166,48.375999450683594,0.8326028065721115,4.313000202178955,0.08800029754638672,3,4.232999801635742,4.321000099182129,3.6261786047210562,10,22,12
aberdeen-p038-uk,Aberdeen,aberdeen-p038-uk-bodc.csv,57.143,-2.0745,35,0.8234086565710446,0.08825856399969674,aberdeen_p038_uk.7z,NW Europe 30-station screening subset,41,0.8384479950554402,0.7886133232637547,0.88216608166371,ok,DeltaDTM:DeltaDTM_v1_1_N57W003.tif,DeltaDTM_v1_1_N57W003.tif,10248,7.6487250328063965,6.0889929742388755,7.240437158469946,1.1514441842310694,4.908274785323965,7.572209211553474,3.669008587041374,9.026151444184231,19650,-2.058000087738037,57.13600158691406,1.2635678555080092,2.822000026702881,0.006000041961669922,3,2.815999984741211,2.822000026702881,1.9835520316474406,24,19,-5
sheerness-p015-uk,Sheerness,sheerness-p015-uk-bodc.csv,51.442,0.74306,27,0.6684479366660454,0.17471625646671107,sheerness_p015_uk.7z,NW Europe 30-station screening subset,41,1.3629605897477484,1.2772481924576045,1.4702876816902175,ok,DeltaDTM:DeltaDTM_v1_1_N51E000.tif,DeltaDTM_v1_1_N51E000.tif,23434,2.346140503883362,39.25492873602458,42.77972177178459,3.524793035760007,21.29384654775113,49.987198088247844,5.23598190663139,59.46914739267731,19997,0.7400000095367432,51.4379997253418,0.4927874549512442,5.25600004196167,0.17100000381469727,3,5.085000038146973,5.25600004196167,3.8930394522139213,3,3,0
esbjerg-130121-denmark,Esbjerg 130121 Denmark,esbjerg-130121-denmark-dmi.csv,55.467,8.4333,37,0.8293650913766994,0.21889025027716494,esbjerg_130121_denmark.7z,NW Europe 30-station screening subset,41,2.3606504472094056,2.0611966051853368,2.4873032978411134,ok,DeltaDTM:DeltaDTM_v1_1_N55E008.tif,DeltaDTM_v1_1_N55E008.tif,26110,5.149414539337158,11.233243967828418,13.473764841057067,2.240520873228648,8.261202604366144,15.951742627345844,4.53083109919571,20.39448487169667,19310,8.416000366210938,55.465999603271484,1.0961426145407729,3.3989999294281006,0.19899988174438477,1,3.3989999294281006,3.3989999294281006,1.038349482218695,14,12,-2
denhelder-hel-nl,Denhelder Hel Nl,denhelder-hel-nl-rws.csv,52.965,4.7464,37,0.8248201333244836,0.15716983850266425,denhelder_hel_nl.7z,NW Europe 30-station screening subset,41,1.7527079391545102,1.562339030620579,1.9313450626785764,ok,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N53E004.tif,35592,0.6990490853786469,77.63261407057766,78.41368846931894,0.7810743987412901,73.1316026073275,81.12497190379861,62.921443020903574,83.29399865138234,19742,4.752999782562256,52.96099853515625,0.6271861455373051,2.635999917984009,0.01699995994567871,4,2.61899995803833,2.690999984741211,0.8832919788294986,26,2,-24
lerwick-p041-uk,Lerwick P041 Uk,lerwick-p041-uk-bodc.csv,60.15,-1.1333,37,0.8243864918895287,0.07511292773126894,lerwick_p041_uk.7z,NW Europe 30-station screening subset,41,0.5587912411937785,0.5232488861263966,0.6591311341907641,ok,DeltaDTM:DeltaDTM_v1_1_N60W002.tif,DeltaDTM_v1_1_N60W002.tif,6702,7.405850648880005,11.966577141151895,13.011041480155178,1.0444643390032826,8.161742763354223,16.786034019695613,4.879140555058192,21.038495971351836,18891,-1.1349999904632568,60.150001525878906,0.09408640599033988,1.5080000162124634,0.01900005340576172,5,1.5,1.5369999408721924,0.9492087750186848,29,11,-18
cuxhaven-germany,Cuxhaven Germany,cuxhaven-germany-bsh.csv,53.867,8.7167,37,0.8212878428465595,0.2341981421529836,cuxhaven_germany.7z,NW Europe 30-station screening subset,41,2.6127060849839068,2.3269531627272464,2.8358292059422943,ok,DeltaDTM:DeltaDTM_v1_1_N53E008.tif,DeltaDTM_v1_1_N53E008.tif,26619,1.7081925868988037,2.1563544836395057,65.55467898869229,63.398324505052784,0.5822908448852323,79.90533077876705,0.24794319846726023,85.31124384837898,3982,8.722999572753906,53.869998931884766,0.5308434347028981,4.696000099182129,0.12900018692016602,2,4.64900016784668,4.696000099182129,2.083294014198222,5,27,22
delfzijl-del-nl,Delfzijl Del Nl,delfzijl-del-nl-rws.csv,53.326,6.9331,37,0.8130688162971842,0.21373192479675265,delfzijl_del_nl.7z,NW Europe 30-station screening subset,41,2.3899968146080797,2.2350284844874087,2.753552061293454,ok,DeltaDTM:DeltaDTM_v1_1_N53E006.tif,DeltaDTM_v1_1_N53E006.tif,32001,-0.675647497177124,97.39070654042061,97.41258085684822,0.02187431642761164,92.92522108684103,98.91565888565982,86.92540858098184,99.56563857379457,19595,6.935999870300293,53.327999114990234,0.2941116420316665,4.093999862670898,0.9459998607635498,1,4.093999862670898,4.093999862670898,1.7040030480628188,11,1,-10
